SampleID,num,AGA_severity,g__Corynebacterium;,g__Acinetobacter;,g__Staphylococcus;,g__Rothia;,g__Neisseria;,g__Haemophilus;,g__Prevotella;,g__Moraxella;,g__Streptococcus;,g__Pseudomonas;,g__Micrococcus;,g__Rhizobium;,g__Propionibacterium;,g__Bacteroides;,g__Streptophyta_Group;,g__Brevundimonas;,g__Veillonella;,g__Paracoccus;,g__Enhydrobacter;,g__Kocuria;,g__Lactobacillus;,g__Bartonella;,g__Finegoldia;,g__Macrococcus;,g__Anaerococcus;,g__Peptoniphilus;,g__Penicillium;,g__Aspergillus;,g__Cladosporium;,g__Alternaria;,g__Malassezia;,g__Uncultured_Aspergillus;
AWGB16SAA2186284-14-11,1,Healthy,0.466508172,0.00013373,0.17781575,0.0000446,0.0000892,0.0000446,0.0000297,0.0002526,0.000223,0.00339,0.001500743,0.001040119,0.348781575,0,0.0000297,0,0.0000297,0.0000297,0.0000594,0,0,0,0,0,0,0,0.0000504,0.000283754,0.000157641,0.000189,0.997931748,0
AWGB16SAA2185996-11-13,2,Healthy,0.063480298,0.000770896,0.47214398,0.000207549,0.0000593,0,0.0000593,0.000444748,0.000859845,0.000534,0.000622647,0.000355798,0.456370267,0,0.00119,0.001156344,0.000118599,0.000296498,0.000296498,0.000296,0.000177899,0.0000593,0.000177899,0.0000889,0.000237,0,0.000019,0.000123647,0.000190226,0.000656,0.988633986,0
AWGB16SAA2185998-11-15,3,Healthy,0.040480954,0.00071449,0.687400482,0.002531335,0.003245825,0.00081656,0.001755604,0.002898787,0.014514351,0.000387866,0.000347038,0.000122484,0.096129506,0.000244968,0.135446862,0.000265382,0.000755318,0.00193933,0.001796432,0.000244968,0.00112277,0.000122484,0.001816846,0,0.000836974,0.004062385,0.0000237,0.017789183,0.002589814,0.00202,0.78218713,0
AWGB16SAA2186000-11-17,4,Healthy,0.085842615,0.000219414,0.022367351,0.0000516,0.0000516,0.000167787,0.000645336,0.003045987,0.000413,0.0012,0.000129067,0.010854554,0.867641554,0.000865,0.000116,0.000167787,0.000129067,0.000567896,0.00378,0,0.001652061,0.0000258,0.0000387,0,0.0000258,0,0.000258339,0.000287043,0.136058327,0.00020093,0.722974912,0
AWGB16SAA2186002-12-11,5,Healthy,0.449327102,0.000742093,0.130748711,0.0000401,0.000180509,0,0.000100283,0.000200566,0.00016,0.000782206,0.001343789,0.000100283,0.41360637,0.000221,0.000180509,0.000541527,0.0000401,0.000240679,0.000281,0.0000602,0.000681923,0.000320905,0.000100283,0,0,0,0.072396877,0.000958259,0.004439638,0.0000703,0.920534867,0
AWGB16SAA2186004-12-13,6,Healthy,0.496581167,0.000300811,0.183361679,0.000555343,0.001099117,0.0000926,0.000792521,0.000185114,0.003563454,0.000300811,0.00200155,0.00015619,0.308562702,0.0000463,0.000549559,0.000618977,0.000561128,0.00017933,0.000127266,0.0000694,0.000109912,0.0000116,0.000109912,0,0.0000405,0.0000231,0,0.000128788,0.024340909,0.000234848,0.974007576,0
AWGB16SAA2186006-12-15,7,Healthy,0.044430007,0.000992547,0.047876852,0.000198509,0.000559436,0.000126324,0.000126324,0.000451158,0.001371519,0.000541389,0.001967047,0.0000902,0.892624474,0.0000902,0.003410752,0.000198509,0.000288741,0.000433111,0.000397019,0.000126324,0.0000902,0,0.002057279,0.000252648,0.00117301,0.000126324,0.000682943,0.225029879,0.001536623,0.000853679,0.572818849,0
AWGB16SAA2186018-14-11,8,Healthy,0.325762235,0.000292886,0.345341651,0.000131799,0.0000879,0.0000439,0.0000439,0.000146443,0.000146443,0.000161,0.000497906,0,0.325132531,0.000161087,0.000308,0.000234309,0.0000879,0.000146443,0.000190376,0.00019,0.000131799,0.000527194,0,0.0000586,0.000146,0.0000293,0.000244834,0.000362716,0.001478069,0.0000272,0.99423281,0
AWGB16SAA2186020-14-13,9,Healthy,0.84397156,0.000362552,0.030907589,0.007976152,0.000120851,0.0000403,0.000261843,0.002699001,0.000604254,0.000644538,0.009104093,0.0000201,0.08926845,0.000271914,0.0000302,0.001309217,0.0000906,0.009164518,0.002628505,0.0000604,0.000100709,0.00011078,0.000120851,0,0.000100709,0.0000302,0.000126418,0.000143274,0.000202269,0.0000253,0.998786387,0
AWGB16SAA2186022-14-15,10,Healthy,0.053199414,0.000204243,0.058509744,0.0000721,0.000036,0.000024,0.000024,0.000156186,0.00106,0.0000841,0.000312372,0.000600716,0.884566403,0.000132,0.000276,0.0000841,0.0000481,0.000420501,0.0000961,0,0.000024,0.000036,0.000036,0,0,0,0.0000572,0.000200221,0.000190687,0.0000381,0.998588917,0
AWGB16SAA2186024-14-17,11,Healthy,0.07922605,0.000339783,0.034412459,0.000339783,0.001208117,0.0000566,0.000169891,0.000151015,0.002925908,0.000453044,0.000981595,0.000924965,0.873166588,0.0000944,0.000132138,0.000151015,0.000396413,0.001623407,0.000302029,0.000245399,0.0000755,0.000188768,0.000887211,0.0000378,0.00077395,0.000736196,0,0.0000544,0.0000635,0.000217543,0.994497974,0.0000453
AWGB16SAA2186028-15-13,12,Healthy,0.043051751,0.000350608,0.652832256,0.000555129,0.000204521,0.000233739,0.002454257,0.002366605,0.003710602,0.000467477,0.001438954,0.000547825,0.19149045,0.004959644,0.0000803,0.088156021,0.000226434,0.003389211,0.0025273,0.000255652,0.000241043,0,0.000131478,0.000131478,0.000138782,0.0000584,0.0000164,0.0000328,0.0000164,0.0000492,0.834530248,0
AWGB16SAA2186030-15-15,13,Healthy,0.243560262,0.000713051,0.467048149,0.000481309,0.000820008,0.000820008,0.003297859,0.00042783,0.00295916,0.001693495,0.000677398,0,0.266752233,0.006595718,0.000891313,0.000320873,0.000303047,0.000410004,0.000463483,0.0000713,0.00057044,0.0000713,0.000552614,0,0.000320873,0.000178263,0,0.000169505,0.0000646,0.0000888,0.72344822,0
AWGB16SAA2186032-15-17,14,Healthy,0.115290098,0.00050947,0.463228243,0.000659314,0.000659314,0.0000599,0.000869096,0.000329657,0.002757133,0.000179813,0.000269719,0.000179813,0.403260609,0.001828099,0.001768161,0.0000599,0.0000899,0.000239751,0.0000899,0,0.006383361,0.000209782,0.000599377,0,0.000239751,0.000239751,0.0000208,0.000218418,0,0.0000208,0.991856135,0
AWGB16SAA2186034-16-11,15,Healthy,0.328991771,0.000394688,0.434807491,0.001164328,0.000611766,0.000118406,0.001282734,0.00094725,0.001637953,0.00094725,0.000966984,0.000197344,0.219840941,0.001440609,0.001164328,0.00031575,0.0000592,0.000789375,0.000690703,0.000118406,0.002052375,0.000256547,0.000236813,0.000592031,0.000296016,0.0000789,0.0000531,0.000442909,0.000124015,0,0.616865976,0
AWGB16SAA2186036-16-13,16,Healthy,0.337699359,0.00119208,0.216010899,0.001058804,0.000481275,0.000037,0.00071821,0.033474507,0.001458633,0.0015771,0.002147226,0.001480845,0.376327208,0.004753513,0.002702543,0.001925099,0.000155489,0.000925528,0.005427298,0.000288765,0.000118468,0.000540509,0.001873269,0.004620237,0.001621526,0.00138459,0.0000466,0.000124338,0.000108795,0,0.995725898,0.000295302
AWGB16SAA2186038-16-15,17,Healthy,0.041596212,0.000676361,0.465495633,0.000915077,0.000636575,0.000358074,0.001114007,0.000616682,0.00314309,0.001233364,0.000835505,0.000218823,0.460701426,0.005669498,0.002426943,0.000139251,0.000298395,0.000696254,0.001153793,0.000358074,0.00073604,0.000576896,0.004117846,0.000596789,0.002367264,0.003322127,0,0.00390379,0.000063,0.001825967,0.990429417,0.000125929
AWGB16SAA2186143-13-14,18,Healthy,0.081592358,0.008724886,0.192027535,0.008484751,0.019610982,0.006723765,0.030417034,0.002374663,0.230875957,0.003121748,0.001414125,0,0.194375517,0.005443048,0.002294618,0.000293498,0.061847968,0.001600897,0.00165426,0.000506951,0.118679794,0,0.004322421,0.000400224,0.021798874,0.001414125,0.019420993,0.178578394,0.019156287,0,0.645392739,0.131544484
AWGB16SAA2186042-11-11,19,Healthy,0.047800706,0.005287532,0.161092283,0.000283894,0.0000532,0,0.000177434,0.000337125,0.000851683,0.00193,0.001419472,0.000124204,0.749924591,0.0000355,0.000231,0.000408098,0.0000532,0.00204049,0.0000355,0.000266,0.02602956,0.000159691,0.000177434,0.000603275,0.000319,0.000354868,0.004577236,0.000411288,0.030581243,0.000384753,0.882066522,0
AWGB16SAA2186044-11-13,20,Healthy,0.42333186,0.002852207,0.137910256,0.000120516,0.000241032,0.000160688,0.005262524,0.000482063,0.001205158,0.002048769,0.000482063,0.000361547,0.395332021,0.0000803,0.000120516,0.000241032,0.0000803,0.000441891,0.00020086,0,0.000241032,0.000241032,0.00249066,0,0.003133411,0.022938175,0.0000277,0.001987851,0.000268129,0.000388,0.994591196,0.0000185
AWGB16SAA2186046-11-15,21,Healthy,0.092479645,0.000573924,0.252497544,0.00011673,0.000175096,0.0000292,0.0000292,0.000214006,0.000223733,0.000214006,0.001147849,0,0.648515092,0,0.0000486,0.000175096,0.0000195,0.000836568,0.000243188,0.001974689,0,0.0000875,0.000214006,0.0000389,0.000107003,0.0000389,0,0.0000763,0.0000763,0.000228885,0.947898917,0
AWGB16SAA2186048-11-17,22,Healthy,0.299429091,0.00870479,0.358166818,0.0007999,0.000235265,0.000376423,0.000846953,0.004720976,0.002838859,0.002227171,0.020875812,0.0000471,0.289093133,0.0007999,0.000580319,0.001254745,0.00010979,0.000596004,0.003340757,0.001395903,0.000643057,0.000580319,0.001740958,0.000141159,0.000407792,0.0000471,0.015969143,0.017275873,0.000036,0.000027,0.956769763,0
AWGB16SAA2186050-12-11,23,Healthy,0.256755931,0.000305468,0.496100193,0.00040729,0.000692394,0.000285103,0.0006313,0.000590571,0.001608797,0.001690256,0.002647388,0.0000815,0.23001731,0.000264739,0.001018226,0.000142552,0.00040729,0.000610936,0.000386926,0.000427655,0.001995723,0.0000611,0.000529478,0,0.00085531,0.00148661,0.0000574,0.001162374,0,0,0.996010619,0
AWGB16SAA2186052-12-13,24,Healthy,0.646373218,0.000481383,0.09241822,0.00013858,0.000488677,0.000182342,0.000350097,0.000211517,0.002509026,0.001006528,0.0000365,0.000561613,0.250982823,0.0000292,0.0000875,0.0000948,0.0000948,0.000671019,0.000736662,0.0000292,0.000269866,0.000167755,0.000714781,0,0.000466796,0.000897123,0,0.000202134,0.0000421,0.000193712,0.992142033,0.0000337
AWGB16SAA2186054-12-15,25,Healthy,0.439270854,0.000726504,0.165378773,0.000506351,0.000286199,0.000198138,0.000110076,0.001122779,0.00195936,0.000264183,0.000748519,0.000154107,0.385575589,0.000198138,0.000440306,0.000286199,0.000198138,0.000198138,0.000858596,0.000154107,0.000264183,0.000154107,0.000242168,0.0000881,0.000330229,0.000286199,0,0.000183848,0.000472751,0.073617859,0.92212738,0
AWGB16SAA2186056-12-17,26,Healthy,0.128438264,0.001719132,0.036254584,0.000458435,0.000878667,0.000458435,0.007182152,0.002062958,0.013562042,0.001222494,0.000191015,0.000114609,0.787935513,0,0.000114609,0.000573044,0.000573044,0.006723716,0,0,0.001528117,0.000764059,0.000420232,0.000611247,0.000382029,0.007831601,0.000021,0.0000526,0.026150045,0.0000526,0.918984281,0
AWGB16SAA2186058-13-11,27,Healthy,0.056161297,0.000657819,0.185077376,0.0000658,0.0000987,0.0000493,0.000592037,0.0000329,0.0012,0.000905,0.000246682,0,0.748285559,0,0.000345,0.000345355,0.000855165,0.000641374,0.0000658,0.0000987,0.0000987,0,0.000789383,0.00118,0.00164,0.000559146,0.000115334,0.000288334,0.000288334,0.000461334,0.99134998,0
AWGB16SAA2212627-14-11,51,Healthy,0.290374811,0.000414821,0.376269553,0.00513843,0.00242202,0.000321152,0.002100868,0.001980436,0.001873386,0.001338133,0.007680882,0.000147195,0.275829308,0.000187339,0.002274826,0.001351514,0.00776117,0.015963924,0.00382706,0.0000803,0.000562016,0.0000803,0.000642304,0.0000268,0.000214101,0.001137413,0.000126309,0.001713072,0.076669851,0.02712496,0.879492867,0
AWGB16SAA2212629-14-13,52,Healthy,0.350186728,0.000459638,0.221430623,0.006061477,0.001120368,0.0000431,0.000919276,0.00214019,0.003935651,0.000359092,0.007497845,0.000129273,0.383510485,0.00027291,0.0025711,0.001335823,0.000359092,0.004510198,0.001680552,0.00011491,0.000646366,0.000186728,0.000172364,0.000129273,0.00011491,0.010112037,0.00000883,0.004805951,0.004938468,0.000504,0.893350296,0.001404681
AWGB16SAA2212631-14-15,53,Healthy,0.300076693,0.000424553,0.404571476,0.007422827,0.002369279,0.000424553,0.001657126,0.001602345,0.000903887,0.001013449,0.007943247,0.00026021,0.218316032,0.000178038,0.032704265,0.001177792,0.000273905,0.01188748,0.003574461,0.000356077,0.000821715,0.0000822,0.000314991,0.000246515,0.00026021,0.001136706,0.0000823,0.002805206,0.003889886,0.0251,0.906074207,0.000216936
AWGB16SAA2212633-14-17,54,Healthy,0.356362473,0.000450981,0.463230481,0.006197355,0.00157116,0.00104744,0.001469326,0.00216762,0.001716638,0.001411135,0.008466809,0.0000145,0.069276539,0.000407338,0.058409345,0.001396587,0.000465529,0.016933618,0.005731826,0.0000436,0.000872867,0.0000873,0.000669198,0.0000436,0.000334599,0.001222014,0.000114333,0.001643538,0.006238299,0.002208058,0.844735676,0
